userName,score,at,content
Kardono Dono,5,2026-05-05 07:38:05,sangat membantu dalam pemesanan
Jujun Junaedy,5,2026-05-05 07:36:37,aplikasi belanja online terbaik
Tanu Mulya,5,2026-05-05 07:34:13,sangat membantu
Fiyan Haryadi,5,2026-05-05 07:30:54,sangat bagus untuk keluarga kecil di shopee
feriyanty trisari,5,2026-05-05 07:28:04,byk membantu mncri sesuatu
Kar Tini,5,2026-05-05 07:27:20,bagus
Iwan Ridwansyah,5,2026-05-05 07:26:43,Makasih Pesanan Sudah Saya Terima.
Akbar Reza Fahrizi,1,2026-05-05 07:25:18,Sangat sedih bagi seller yang berjualan di aplikasi ini dalam urusan pencairan dana. 2 tahun yang lalu ketika pembeli lokal klik pesanan selesai atau 3 hari sampai tujuan sipbuyer bisa langsung cair dana penjualan. Hadeh sekarang minimal nunggu 1 minggu dulu cair dana hasil jualan🤦🏻‍♂️
Heni Winarko,1,2026-05-05 07:24:55,mau bayar shopee pay Rp 60.628 Saldo Rp 60.746 gk bisa anj!! kalo ada lebihnya kenapa tertera Rp 60.628!!
Louis Tanuwijaya,5,2026-05-05 07:24:25,"membantu kebutuhan , banyak promo promo setiap bulan JD memudahkan kebutuhan belanja bulanan......."
Pengguna Google,5,2026-05-05 07:18:45,aplikasi ini sangat berguna untuk saya 👍
Nuril Huda,5,2026-05-05 07:15:48,sangat puas
Ahmad Zuhal,2,2026-05-05 07:15:40,"ini kenapa kalau ada pembeli ambil pengiriman standard biaya kirimnya dibebankan ke saya, barang 55rb admin sama potongan ongkir 20rb terima 35rb udah berkali kali begitu saya rugi beberapa kali, tolonglah kalau tidak sanggup kasih gratis ongkir ke Pembeli jgn memberatkan dan merugikan penjual"
Gorengan Berkah gorengan,5,2026-05-05 07:15:18,"shopee ok,tapi kadang jasa kirimnya lama"
Emi Ernawati,1,2026-05-05 07:13:14,"Tiap co kok dbatalin teruss dbilang aktivitas tidak wajar..yg betul itu SISTEM SHOPEE YG TIDAK WAJAR!!! makanya jadi kurang ajar sama pembeli, pindah ajalah ke lain marketplace, marketplace lain jg bnyak yg lebh profesional. Dari 2015 sudah 11tahun sama shopee makin kesini makin mngecewakan saja."
Sumiatun,5,2026-05-05 07:10:13,Senang belanja di shoppe sekarang GK usah pergi ke toko cukup belanja di shoppe saja TDK usah pergi ke toko.ok
Ovai Vai,5,2026-05-05 07:09:45,shoppe memudahkan ibu rumah tangga
Hartati,5,2026-05-05 07:09:29,aku jadi bisa memesan barang dengan mudah
Roziqin Putra.52,4,2026-05-05 07:08:48,kenapa shopee saya tidak bisa cek out
Albino bonsai,4,2026-05-05 07:08:12,aku bukan siapa2. dan tak berarti bagi shopee
Auliana Pramadini,3,2026-05-05 07:07:34,"fitur COD saya tidak bisa, padahal saya tidak pernah cancel barang, sudah nunggu 60 hari tapi tetap tidak bisa fitur COD, tolong di perbaiki"
